Расписание БГПУ им. М. Акмуллы ИПОиИТ ПИМ 112-15;;;;;;;;;
День Недели;Пара;Время;Учебные недели;Четность;Подгруппа;Дисциплина;Место проведения;Преподователь;Тип занянития
Понедельник;1;8:30-10:05;20..39;0;1;Иностранный язык;ауд. 101;Васильева В.П.;л\б
;;;20..41;0;2;"Практикум ""Прикладное программное обеспечение""";ауд. 209;Рамазанова Р.Р.;л\б
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;2;10:15-11:50;20..41;0;1;"Практикум ""Прикладное программное обеспечение""";ауд. 209;Рамазанова Р.Р.;л\б
;;;20..39;0;2;Иностранный язык;ауд. 101;Васильева В.П.;л\б
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;3;12:20-13:55;21..22;0;0;Объектно-ориентированное программирование;ауд. 209;Забихуллин Ф.З.;л\к
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;4;14:05-15:40;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;5;16:00-17:35;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;6;17:45-19:20;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;7;19:30-21:00;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Вторник;1;8:30-10:05;29..41;0;1;Объектно-ориентированное программирование;ауд. 208;Забихуллин Ф.З.;л\б
;;;20..41;0;2;Иностранный язык;ауд. 101;Васильева В.П.;л\б
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;2;10:15-11:50;20..22;0;0;Физическая культура;акт. зал;Бадгутдинов Р.Ф.;л\к
;;;23..41;0;0;Физическая культура;5к;Бадгутдинов Р.Ф.;п\з
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;3;12:20-13:55;20..24;0;0;Философия;акт. зал;Михайличенко Д.Г.;л\к
;;;25..33;0;0;Философия;акт. зал;Михайличенко Д.Г.;п\з
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;4;14:05-15:40;20..41;0;1;Иностранный язык;ауд. 101;Васильева В.П.;л\б
;;;20..28;0;2;Информатика и программирование;ауд. 213;Картам В.М.;л\б
;;;29..41;0;2;Объектно-ориентированное программирование;ауд. 208;Забихуллин Ф.З.;л\б
;;;;;;;;;
;;;;;;;;;
;5;16:00-17:35;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;6;17:45-19:20;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;7;19:30-21:00;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Среда;1;8:30-10:05;24..27;0;1;Безопасносить жизнедеятельности;ауд. 314, 1 общ.;Чуктурова Н.И.;л\б
;;;28..31;0;2;Безопасносить жизнедеятельности;ауд. 314, 1 общ.;Чуктурова Н.И.;л\б
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;2;10:15-11:50;20..24;0;0;Безопасносить жизнедеятельности;ауд. 314, 1 общ.;Чуктурова Н.И.;л\к
;;;25..31;0;0;Безопасносить жизнедеятельности;ауд. 314, 1 общ.;Чуктурова Н.И.;п\з
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;3;12:20-13:55;20..31;0;0;Информатика и программирование;ауд. 213;Картам В.М.;л\к
;;;32..41;0;0;Информатика и программирование;ауд. 213;Картам В.М.;п\з
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;4;14:05-15:40;20..31;0;0;Дискретная математика;ауд. 213;Богданов М.Р.;л\к
;;;32..41;0;0;Дискретная математика;ауд. 213;Рамазанова Р.Р.;п\з
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;5;16:00-17:35;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;6;17:45-19:20;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;7;19:30-21:00;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Четверг;1;8:30-10:05;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;2;10:15-11:50;20..41;0;0;Физическая культура;5к;Бадгутдинов Р.Ф.;п\з
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;3;12:20-13:55;20..24;0;0;История;ауд. 309;Янборисов М.Х.;л\к
;;;25..31;0;0;Правоведение;ауд. 311;Хайруллина Г.Х.;л\к
;;;32..40;0;0;Правоведение;ауд. 311;Хайруллина Г.Х.;п\з
;;;;;;;;;
;;;;;;;;;
;4;14:05-15:40;20..26;0;0;История;ауд. 309;Янборисов М.Х.;п\з
;;;27..39;1;1;Информатика и программирование;ауд. 213;Картам В.М.;л\б
;;;28..40;2;2;Информатика и программирование;ауд. 213;Картам В.М.;л\б
;;;;;;;;;
;;;;;;;;;
;5;16:00-17:35;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;6;17:45-19:20;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;7;19:30-21:00;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Пятница;1;8:30-10:05;20..29;0;0;Мультимедиа технологии;ауд. 213;Жилко Е.П.;л\к
;;;30..40;0;0;Математика (математический анализ);ауд. 311;Давлетов Д.Б.;л\к
;;;41;0;0;Математика (математический анализ);ауд. 311;Давлетов Д.Б.;п\з
;;;;;;;;;
;;;;;;;;;
;2;10:15-11:50;20..31;0;1;Мультимедиа технологии;ауд. 213;Жилко Е.П.;л\б
;;;20..31;0;2;Мультимедиа технологии;ауд. 212;Титова Л.Н.;л\б
;;;32;0;0;Математика (математический анализ);ауд. 311;Давлетов Д.Б.;л\к
;;;33..41;0;0;Математика (математический анализ);ауд. 311;Давлетов Д.Б.;п\з
;;;;;;;;;
;3;12:20-13:55;20..24;0;0;Логические и арифметические принципы работы ЭВМ;ауд. 213;Жилко Е.П.;л\к
;;;25..30;0;0;Логические и арифметические принципы работы ЭВМ;ауд. 213;Рамазанова Р.Р.;п\з
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;4;14:05-15:40;21..27;0;1;Информатика и программирование;ауд. 213;Картам В.М.;л\б
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;5;16:00-17:35;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;6;17:45-19:20;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;7;19:30-21:00;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Суббота;1;8:30-10:05;21..35;0;1;Информационные системы и технологии;ауд. 212;Зиангирова Л.Ф.;л\б
;;; ;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;2;10:15-11:50;20..27;0;0;Информационные системы и технологии;ауд. 212;Зиангирова Л.Ф.;л\к
;;;28..32;0;0;Информационные системы и технологии;ауд. 212;Зиангирова Л.Ф.;п\з
;;;33..35;0;2;Информационные системы и технологии;ауд. 212;Зиангирова Л.Ф.;л\б
;;;;;;;;;
;;;;;;;;;
;3;12:20-13:55;21..32;0;2;Информационные системы и технологии;ауд. 212;Зиангирова Л.Ф.;л\б
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;4;14:05-15:40;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;5;16:00-17:35;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;6;17:45-19:20;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;7;19:30-21:00;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
"Правила заполнения:
1). Диапазон учебных недель указывается через две точки, например: ""20..35"", дополнительный диапазаон через запятую, например: ""20..35,37..41"", так-же можно указать одну неделю не в диапазоне, например: ""5,10..15"".
2). Четность указывается (""0 ""- все, ""1"" - нечетная, ""2"" - четная).
3). Подгруппа указывается (""0"" - все, ""1"" - первая, ""2"" - вторая).
4). Столбцы: Дисциплина, Место проведения, Преподователь, Тип занятия, заполняются без правил, на ваше усмотрение. Но эти данные должны быть понятными и точными.
5). Расписание заполняется на один семестр.
6). Добавлять/удалять строки/столбцы нельзя!
7). Даже если вы заполнили расписание полностью, а пустые строки остались, их всё равно нельзя удалять!
8). Добавлять листы или изменять имя текущего листа нельзя.
9). При необходимости распечатать расписание без кодовых обазначений и пустых строк воспользуйтесь утилитой.
10). Не забудьте указать название группы и семестр в заголовке.";;;;;;;;;
